cell_id,cellname,q1X,q1Y,q1Z,q2X,q2Y,q2Z,q3X,q3Y,q3Z,q4X,q4Y,q4Z,q5X,q5Y,q5Z,q6X,q6Y,q6Z,q7X,q7Y,q7Z,q8X,q8Y,q8Z,mptX,mptY,mptZ,UTMzone,q1Lat,q1Lon,q2Lat,q2Lon,q3Lat,q3Lon,q4Lat,q4Lon,q5Lat,q5Lon,q6Lat,q6Lon,q7Lat,q7Lon,q8Lat,q8Lon,mptLat,mptLon
10,c.10,120.0,2550.0,0.0,135.0,2550.0,0.0,120.0,2565.0,0.0,135.0,2565.0,0.0,120.0,2550.0,50.0,135.0,2550.0,50.0,120.0,2565.0,50.0,135.0,2565.0,50.0,127.5,2557.5,25.0,51N,23.01508585623428,119.29341060460712,23.01844355872041,119.43950081435274,23.150301053403894,119.2896966789237,23.15368072160275,119.43593249682752,23.01508585623428,119.29341060460712,23.01844355872041,119.43950081435274,23.150301053403894,119.2896966789237,23.15368072160275,119.43593249682752,23.08439500450675,119.36463514866524
11,c.11,120.0,2565.0,0.0,135.0,2565.0,0.0,120.0,2580.0,0.0,135.0,2580.0,0.0,120.0,2565.0,50.0,135.0,2565.0,50.0,120.0,2580.0,50.0,135.0,2580.0,50.0,127.5,2572.5,25.0,51N,23.150301053403894,119.2896966789237,23.15368072160275,119.43593249682752,23.28551336388636,119.28595469676009,23.288915040510194,119.43233722046293,23.150301053403894,119.2896966789237,23.15368072160275,119.43593249682752,23.28551336388636,119.28595469676009,23.288915040510194,119.43233722046293,23.21961986358957,119.36098027323091
12,c.12,120.0,2580.0,0.0,135.0,2580.0,0.0,120.0,2595.0,0.0,135.0,2595.0,0.0,120.0,2580.0,50.0,135.0,2580.0,50.0,120.0,2595.0,50.0,135.0,2595.0,50.0,127.5,2587.5,25.0,51N,23.28551336388636,119.28595469676009,23.288915040510194,119.43233722046293,23.420722772461527,119.28218453234815,23.424146500591146,119.42871486436624,23.28551336388636,119.28595469676009,23.288915040510194,119.43233722046293,23.420722772461527,119.28218453234815,23.424146500591146,119.42871486436624,23.354841850032287,119.3572978284716
13,c.13,120.0,2595.0,0.0,135.0,2595.0,0.0,120.0,2610.0,0.0,135.0,2610.0,0.0,120.0,2595.0,50.0,135.0,2595.0,50.0,120.0,2610.0,50.0,135.0,2610.0,50.0,127.5,2602.5,25.0,51N,23.420722772461527,119.28218453234815,23.424146500591146,119.42871486436624,23.555929263930153,119.27838605867616,23.55937508701739,119.42506530644904,23.420722772461527,119.28218453234815,23.424146500591146,119.42871486436624,23.555929263930153,119.27838605867616,23.55937508701739,119.42506530644904,23.49006094881194,119.35358769044701
14,c.14,120.0,2610.0,0.0,135.0,2610.0,0.0,120.0,2625.0,0.0,135.0,2625.0,0.0,120.0,2610.0,50.0,135.0,2610.0,50.0,120.0,2625.0,50.0,135.0,2625.0,50.0,127.5,2617.5,25.0,51N,23.555929263930153,119.27838605867616,23.55937508701739,119.42506530644904,23.691132823113715,119.2745591474774,23.694600784983958,119.42138842341637,23.555929263930153,119.27838605867616,23.55937508701739,119.42506530644904,23.691132823113715,119.2745591474774,23.694600784983958,119.42138842341637,23.625277144927615,119.34984973399176
15,c.15,120.0,2625.0,0.0,135.0,2625.0,0.0,120.0,2640.0,0.0,135.0,2640.0,0.0,120.0,2625.0,50.0,135.0,2625.0,50.0,120.0,2640.0,50.0,135.0,2640.0,50.0,127.5,2632.5,25.0,51N,23.691132823113715,119.2745591474774,23.694600784983958,119.42138842341637,23.8263334348543,119.27070366921892,23.829823579709018,119.41768409075573,23.691132823113715,119.2745591474774,23.694600784983958,119.42138842341637,23.8263334348543,119.27070366921892,23.829823579709018,119.41768409075573,23.76049042340036,119.34608383270401
16,c.16,120.0,2640.0,0.0,135.0,2640.0,0.0,120.0,2655.0,0.0,135.0,2655.0,0.0,120.0,2640.0,50.0,135.0,2640.0,50.0,120.0,2655.0,50.0,135.0,2655.0,50.0,127.5,2647.5,25.0,51N,23.8263334348543,119.27070366921892,23.829823579709018,119.41768409075573,23.961531084014425,119.26681949308981,23.96504345643376,119.41395218272598,23.8263334348543,119.27070366921892,23.829823579709018,119.41768409075573,23.961531084014425,119.26681949308981,23.96504345643376,119.41395218272598,23.895700769273045,119.3422898589344
17,c.17,120.0,2655.0,0.0,135.0,2655.0,0.0,120.0,2670.0,0.0,135.0,2670.0,0.0,120.0,2655.0,50.0,135.0,2655.0,50.0,120.0,2670.0,50.0,135.0,2670.0,50.0,127.5,2662.5,25.0,51N,23.961531084014425,119.26681949308981,23.96504345643376,119.41395218272598,24.096725755476943,119.26290648698959,24.10026040042228,119.410192572346,23.961531084014425,119.26681949308981,23.96504345643376,119.41395218272598,24.096725755476943,119.26290648698959,24.10026040042228,119.410192572346,24.030908167610203,119.3384676837745
18,c.18,120.0,2670.0,0.0,135.0,2670.0,0.0,120.0,2685.0,0.0,135.0,2685.0,0.0,120.0,2670.0,50.0,135.0,2670.0,50.0,120.0,2685.0,50.0,135.0,2685.0,50.0,127.5,2677.5,25.0,51N,24.096725755476943,119.26290648698959,24.10026040042228,119.410192572346,24.23191743414483,119.25896451751633,24.235474396961425,119.40640513138345,24.096725755476943,119.26290648698959,24.10026040042228,119.410192572346,24.23191743414483,119.25896451751633,24.235474396961425,119.40640513138345,24.16611260349791,119.33461717704537
19,c.19,120.0,2685.0,0.0,135.0,2685.0,0.0,120.0,2700.0,0.0,135.0,2700.0,0.0,120.0,2685.0,50.0,135.0,2685.0,50.0,120.0,2700.0,50.0,135.0,2700.0,50.0,127.5,2692.5,25.0,51N,24.23191743414483,119.25896451751633,24.235474396961425,119.40640513138345,24.36710610494101,119.25499344995464,24.37068543136068,119.40258973034305,24.23191743414483,119.25896451751633,24.235474396961425,119.40640513138345,24.36710610494101,119.25499344995464,24.37068543136068,119.40258973034305,24.301314062043655,119.33073820728576
