cellid,cellname,mptLat,mptLon,mptX,mptY,mptZ,UTMzone,c_a_erg,c_cap_mean,c_cap_med,c_cap_sig
304,c.304,22.70701984,120.9798749,292.5,2512.5,25,51N,-0.008798,-1.5521135733991547,-0.22692391561290637,2.3926122008366106
305,c.305,22.84244067,120.9778799,292.5,2527.5,25,51N,-0.008798,-0.7051602851065393,-0.195130635324144,1.0794976984439533
306,c.306,22.97785904,120.9758697,292.5,2542.5,25,51N,-0.008798,-1.0449355277613601,-0.4354239639477699,1.1434582407984877
307,c.307,23.11327493,120.9738442,292.5,2557.5,25,51N,-0.008798,-0.9846851193173372,-0.421373747846218,1.5988440074218884
308,c.308,23.24868832,120.9718034,292.5,2572.5,25,51N,-0.008798,-0.9945002967498677,-0.2560336866075445,1.0936142286963444
309,c.309,23.38409921,120.9697472,292.5,2587.5,25,51N,-0.008798,-1.4273726356351508,-0.31982221351316475,1.6299687963771297
310,c.310,23.51950759,120.9676755,292.5,2602.5,25,51N,-0.008798,-1.9705980944430177,-1.0990915582386391,1.9340818281708299
311,c.311,23.65491344,120.9655882,292.5,2617.5,25,51N,-0.008798,-0.5432263773473872,-0.1644884457607569,0.9115799159806508
312,c.312,23.79031675,120.9634854,292.5,2632.5,25,51N,-0.008798,-0.49394342837213845,-0.23075402165877726,0.7023498564022591
313,c.313,23.9257175,120.9613668,292.5,2647.5,25,51N,-0.008798,-0.8104986188027313,-0.14619258217580372,1.1060547710206963
314,c.314,24.0611157,120.9592325,292.5,2662.5,25,51N,-0.008798,-1.0340213781946848,-0.3717257923509513,1.1724498889406674
315,c.315,24.19651132,120.9570824,292.5,2677.5,25,51N,-0.008798,-0.3006478866678517,-0.29504964781673365,0.3035632648984261
316,c.316,24.33190435,120.9549164,292.5,2692.5,25,51N,-0.008798,-0.4697818530638956,-0.2719978822090202,0.6812109488304121
317,c.317,24.46729479,120.9527343,292.5,2707.5,25,51N,-0.008798,-0.8069489124502219,-0.3700249603318715,0.7541843209435796
