Inference for Stan model: anon_model_2bcafdf2c8909f974977673c3a5d5c71.
4 chains, each with iter=20; warmup=10; thin=1; 
post-warmup draws per chain=10, total post-warmup draws=40.

               mean se_mean     sd    2.5%     25%     50%     75%    97.5%  n_eff   Rhat
dc_1bs[69]    -0.21     nan   0.85   -1.75   -0.76   -0.04    0.67     0.82    nan   3.68
dc_1bs[70]     -0.5     nan   0.77   -1.49    -0.9   -0.82    0.24     0.93    nan   2.51
dc_1bs[71]     0.91     nan   0.68   -1.07    0.43     1.0    1.43     1.65    nan   1.45
dc_1bs[72]     0.47     nan    0.4   -0.21    0.19    0.31    0.98     1.01    nan   1.82
dc_1bs[73]     0.21     nan   1.18   -1.73   -0.57   -0.32    1.46     1.58    nan    2.9
dc_1bs[74]     0.57     nan   0.96   -1.21    0.11     1.0    1.26     1.61    nan   2.54
dc_1bs[75]   3.3e-3    0.33   0.67   -0.69   -0.43   -0.21 -2.9e-4     1.51      4   2.09
dc_1bs[76]    -0.17     nan   0.84   -1.11   -0.85   -0.08    0.01     1.66    nan   2.04
dc_1bs[77]     0.64    0.85   1.28    -1.8   -0.31    1.27    1.57      1.7      2   4.64
dc_1bs[78]      0.3     nan   1.13    -1.6    -0.3    0.54    1.17     2.87    nan   1.64
dc_1bs[79]    -0.03     nan   0.94   -1.27   -0.79   -0.15    0.45     1.72    nan   2.73
dc_1bs[80]     0.35     nan   0.57   -0.51   -0.07    0.34    0.92     1.19    nan   2.94
dc_1bs[81]     0.13    1.02   1.51   -1.66   -1.28   -0.28    1.36      2.5      2   6.82
dc_1bs[82]    -0.04     nan    0.9   -1.29   -0.69   -0.27    0.55     1.53    nan   2.19
dc_1bs[83]     0.44     nan   1.14   -1.04    -0.9    0.17    1.58     1.98    nan    2.8
dc_1bs[84]      0.7    0.77    1.3   -1.46   -0.91    1.32    1.78     1.82      3   3.05
dc_1bs[85]  -7.9e-3     nan   1.16   -1.05   -0.87   -0.63    1.14     1.92    nan   4.81
dc_1bs[86]    -0.04     nan    1.1   -1.15   -1.12   -0.16    1.36      1.7    nan   3.16
dc_1bs[87]     0.58    0.26   0.67   -0.61     0.1    0.21    1.31     1.63      7   1.55
dc_1bs[88]     0.56     nan   0.43   -0.36    0.26    0.42    0.88     1.35    nan   1.92
dc_1bs[89]    -0.54     nan   0.89   -1.67   -1.34   -0.63    0.43     0.76    nan   2.96
dc_1bs[90]    -1.03     nan   0.72   -2.02   -1.62   -1.07   -0.49     0.18    nan   6.63
dc_1bs[91]     0.22     nan   1.19   -1.61    -0.2   -0.09    1.39     1.96    nan   3.45
dc_1bs[92]    -0.18     nan   1.26    -2.4   -0.78    -0.1    1.05     1.49    nan   2.63
dc_1bs[93]     0.49     nan   1.03   -0.87   -0.64    0.35    1.59     1.84    nan   2.49
dc_1bs[94]    -1.26    0.33   0.59   -2.29   -1.78   -0.96   -0.84    -0.08      3   1.91
dc_1bs[95]    -0.59     nan   0.46   -1.18   -0.93   -0.71 -6.0e-4     0.36    nan   1.71
dc_1bs[96]    -0.04     nan   0.81   -1.03   -0.88   -0.18    0.38     1.42    nan   2.18
dc_1bs[97]     0.36     nan   0.68   -0.82   -0.31    0.19    0.97     1.42    nan   1.51
