prc,dc_0,ell_1e,ell_1as,omega_1e,omega_1as,omega_1bs,mu_cap,ell_ca1p,omega_ca1p,omega_ca2p,phi_0,tau_0
0.39,-0.5855265409407377,4.450079742406567,0.967423640754046,2.3032368339315883,0.9851531091606366,1.144823140687923,-0.4909033235464676,1.869150712106307,0.3075842865119467,0.19697578217799236,10.312951658241412,1.0425841951840409
0.4,-0.36122844132225174,4.451959423596469,0.9882113566618397,2.305413854421683,1.3161216534843159,1.144823140687923,-0.37662184913331515,1.8696208553973723,0.3075842865119467,0.19791492774883357,10.312951658241412,1.0644705820575704
0.41000000000000003,-0.13693034170376775,4.45383910478637,1.0089990725696334,2.3075908749117775,1.6470901978079922,1.144823140687923,-0.26234037472016375,1.8700909986884378,0.3075842865119467,0.19885407331967475,10.312951658241412,1.0863569689310997
0.42000000000000004,-0.09121962600742017,4.4588760793449005,1.1711266990257605,2.314261221765394,1.65557657073937,1.1456961276496889,-0.21567442172570409,1.8725043368048946,0.3075842865119467,0.2179732522851955,10.312951658241412,1.0976369056040716
0.43,-0.050208578309025115,4.463996140571026,1.3369737968121043,2.32104981404963,1.65557657073937,1.1465920879525537,-0.17078782455805328,1.8749688116272827,0.3075842865119467,0.23757085318215493,10.312951658241412,1.108637725166502
0.44,-0.019991071759621226,4.637412263700149,1.436112615901603,2.443910050823204,1.6696245808555084,1.1538119809434388,-0.12652038058800064,2.0155868946376607,0.3075842865119467,0.2494922263896672,10.312951658241412,1.1206330082145795
0.45,-0.0052892806118927,5.052753975814832,1.439358284364385,2.7336232765502033,1.7038666055135958,1.1701225271733526,-0.08314296933949603,2.3548007894182748,0.3075842865119467,0.25037902229359893,10.312951658241412,1.1340578325232737
0.46,0.009412510535835826,5.468095687929514,1.4426039528271668,3.0233365022772025,1.7381086301716833,1.1864330734032666,-0.0397655580909914,2.6940146841988883,0.3075842865119467,0.2512658181975307,10.312951658241412,1.1474826568319683
0.47000000000000003,0.04643219108148852,5.9180502019368415,1.4446095169031723,3.0752022055372445,1.7778020720258723,1.1893607619005808,-0.03301366191898942,2.8011694335204256,0.3075842865119467,0.25253030866329135,10.75022802052854,1.1502330135174477
0.48000000000000004,0.08750966969949178,6.374297952651932,1.4463896074543094,3.0838229047123864,1.8184866806429898,1.1898552035374221,-0.03292095030635138,2.8661316109403145,0.3075842865119467,0.2538634708675664,11.267009175958794,1.1510425579077972
